X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,IDEN
-88.251995,-88.241433,-88.244155,-88.011812,-88.013919,-87.5267678862275,-87.5266481580824,-87.52652,-87.5264633059912,-88.131938,-88.2473,-88.251995,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.114229,41.12895,41.201546,41.205604,41.292447,41.2980516024792,41.1660899445116,41.024837,41.0103548179645,40.997839,40.99456,41.114229,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
-90.439423,-90.437657,-89.984559,-89.985479,-89.986068,-90.444343,-90.439423,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.063995,41.151252,41.149366,40.974495,40.712257,40.714667,41.063995,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
-89.1672,-88.938618,-88.818233,-88.712444,-88.60224,-88.59596,-88.58624,-88.930881,-88.93139,-89.047718,-89.047856,-89.162238,-89.163705,-89.166561,-89.1672,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.628707,41.628319,41.631351,41.630491,41.631389,41.457034,41.108293,41.1059,40.92774,40.925749,41.104781,41.10408,41.310187,41.585289,41.628707,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
-89.62933,-89.426727,-89.414627,-88.941279,-88.938618,-89.1672,-89.166561,-89.631494,-89.62933,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.901617,41.908418,41.886175,41.891752,41.628319,41.628707,41.585289,41.584949,41.901617,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
-88.930881,-88.58624,-88.251995,-88.2473,-88.234949,-88.459475,-88.574502,-88.584272,-88.929331,-88.93139,-88.930881,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1059,41.108293,41.114229,40.99456,40.618166,40.617345,40.61655,40.757608,40.753337,40.92774,41.1059,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
-89.602979,-89.26374,-89.26265,-89.148772,-89.148764,-89.144764,-89.143457,-89.217846,-89.40506,-89.483826,-89.578289,-89.579127,-89.601604,-89.602979,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.320129,40.325344,40.280919,40.28252,40.282038,40.048853,39.91792,39.91699,39.918304,39.976733,39.976127,40.092324,40.122432,40.320129,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
-89.217846,-89.143457,-89.144764,-88.745164,-88.745671,-88.812709,-88.810575,-89.02568,-89.139125,-89.141817,-89.217523,-89.217846,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.91699,39.91792,40.048853,40.055191,39.792146,39.740486,39.653222,39.654183,39.655131,39.80091,39.813224,39.91699,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
-90.15375,-89.926037,-89.701645,-89.698555,-90.116509,-90.145991,-90.148069,-90.15375,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.520315,39.522104,39.523369,38.998979,38.998962,39.000046,39.261947,39.520315,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
-90.273686,-90.145991,-90.116509,-89.698555,-89.639265,-89.637049,-89.637831,-89.599593,-89.597321,-89.595103,-89.707024,-90.037105,-90.1815243815314,-90.19521,-90.20991,-90.1665946400156,-90.166409,-90.117707,-90.113327,-90.2072823011856,-90.230336,-90.2765837220256,-90.273686,NaN,,,,,,,,,,,,,,,,,,,,,,,38.999347,39.000046,38.998962,38.998979,38.999129,38.918364,38.918353,38.87453,38.743236,38.655948,38.655152,38.658449,38.6603728853105,38.68755,38.72605,38.7724501393051,38.772649,38.805748,38.849306,38.8987323228399,38.91086,38.9193384672116,38.999347,NaN,,,,,,,,,,,,,,,,,,,,,,,106
-89.143898,-89.138393,-89.138138,-88.695165,-88.698457,-88.698961,-89.144388,-89.143898,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.503088,38.736331,38.824244,38.826299,38.606304,38.474914,38.473878,38.503088,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
