yield,tmax_apr,tmax_may,tmax_jun,tmax_jul,prcp_apr,prcp_may,prcp_jun,prcp_jul
8.779414627,16.83976746,20.45534515,26.12689972,27.51028442,117.6068802,148.3950806,149.0807495,96.35863495
9.163348788,15.6185112,19.95454597,25.67839813,27.31095886,129.6140137,132.9525757,135.5068054,115.0738144
9.177226524,15.83393574,20.34536362,25.33665276,26.98204231,97.64099121,130.5231628,175.3282623,71.19380951
8.808318707,17.56258202,20.95384789,27.31908989,28.45193672,89.07160187,123.7737427,105.4967575,197.0532227
8.77240813,15.32206917,19.60448647,25.3442421,27.04324913,132.5298309,124.4841766,180.4558868,157.7307739
8.839689686,16.32546997,20.198349,25.92862511,27.44901276,107.2117844,131.9865875,142.0942535,99.29979706
5.702393599,19.53979111,22.12590599,29.15219116,30.23997498,68.13578033,263.5346069,226.2377319,179.2730713
7.030514103,19.04534531,21.87068367,28.70013428,29.89521408,67.40154266,247.0039368,258.3705444,173.7939301
5.533190562,18.5591011,21.52322006,28.69861221,29.96302795,71.14550781,165.6636505,242.4634705,145.3199463
2.617682825,20.61833382,22.57054138,31.95422363,32.95951843,79.21338654,219.9267578,88.23232269,108.9002533
4.363895636,20.00907326,22.38637924,29.48907471,30.58064461,98.2555542,271.1222229,119.7222214,140.222229
5.909387045,18.58875084,21.41319466,28.44186974,29.65815544,55.82577896,194.3536377,256.802124,149.8039398
2.242707951,22.11708832,23.01213646,32.61618805,32.97105408,95.78134918,296.5050354,63.11583328,210.7776337
4.92676946,19.15340805,26.20161247,28.42935562,29.10447311,254.8409119,77.92045593,189.7045441,251.2272797
6.565264081,21.67486572,26.16795349,29.99672699,31.37926292,236.5800018,158.2040405,49.08585739,189.1816559
6.806005951,20.89520073,25.73663521,29.55660057,30.77723885,215.2858429,90.97912598,173.1296387,204.8367157
6.417478403,21.7230587,25.5343895,30.66703415,31.69386673,211.8206024,198.5479126,59.99088287,206.5687866
4.925326467,19.80611038,25.96863747,28.62333298,29.24444389,302.6666565,72.26667023,179.7444458,271.6777649
6.152101796,21.5970974,26.51287842,30.1201973,31.39763451,210.8564453,116.5892792,92.77082825,186.390274
6.947019474,20.84759331,25.92598534,29.20536995,30.14569855,212.8444519,68.19999695,159.077774,151.2333374
6.204878529,20.04185104,25.96827888,28.94888878,29.62616539,279.2666626,43.64444351,178.7111053,258.3333435
6.095152192,21.4749794,26.5544548,29.97504616,31.24484825,196.3610077,97.91656494,89.3731308,191.8191833
6.319267605,21.57416344,26.30879593,30.01941872,31.37903786,253.24646,165.1593933,74.18384552,201.0642395
6.568572499,21.84454727,26.09623718,30.07033157,31.44015121,236.2789001,125.7833328,85.42500305,274.1900024
7.577938891,20.76814651,25.4826107,29.76919937,30.9101963,196.334549,93.89194489,184.7000427,184.4567108
6.808423249,21.55421829,26.66679764,30.10148239,31.45186615,218.5626221,87.01161194,95.19444275,185.8146362
5.500842179,19.70777702,25.94892502,28.75203705,29.31827927,310.6555481,86.5,157.2555542,265.2555542
3.394137154,25.81919098,29.24079514,32.18064117,34.69729614,227.4141388,237.9090881,160.9393921,68.10101318
3.406910183,25.46722412,29.05268478,32.38813782,34.67028427,157.794281,245.6256561,135.6096954,73.73480225
3.563298148,25.46228981,28.99625206,32.26380539,34.46611404,135.808075,221.3939362,102.2121201,93.16161346
4.907260154,24.76901245,28.61213493,32.44319534,34.46408463,145.7169952,179.0956268,105.9202042,116.3910751
7.114586932,25.32626343,29.03341866,32.63282013,34.73054886,143.3686981,248.9707184,117.2468033,69.21717072
4.43125177,25.03303528,28.90185547,32.6269989,34.60584259,150.5732422,222.1021576,105.2164078,58.98825836
6.263808615,24.65408325,28.26257133,32.22812271,34.35968018,121.5306244,200.6206055,126.7017441,109.8470154
5.378900068,24.93064117,28.62895203,32.47205353,34.55702209,127.9242401,232.2727356,152.3535461,68.07070923
4.376800842,25.30371094,29.16298485,32.68586731,34.58565521,122.4201965,199.6631317,95.64898682,57.432827
5.587690344,24.78713989,28.48290062,32.39245224,34.47726822,134.2528839,189.6088409,131.3377686,115.29039
7.024334264,14.31886292,21.94110107,24.37465096,27.14318848,75.73244476,89.31666565,110.3948822,63.28710938
6.188314447,15.69666672,23.05387115,25.23450089,27.05290413,66,120.3099976,213.3000031,120.2399979
9.017045769,11.61434555,20.49703979,22.460495,26.11773682,62.65096664,70.43806458,99.48525238,71.05838013
5.659421219,13.81166649,21.76435471,24.28483391,26.99725723,84.18000031,97.66000366,126.0599976,55.54000092
6.366519525,15.75635052,23.46833992,25.30789375,27.51232147,60.17713928,122.7456589,228.1147919,103.215126
6.012910224,15.43391609,23.29252243,25.24594688,27.7039566,62.5595932,132.6184387,236.4025726,80.15492249
6.715419847,13.7966671,22.30532265,24.55183411,27.5324192,61.77999878,86.34999847,120.1399994,49.93000031
7.046427018,12.16696835,21.31207466,23.08164406,26.6315918,49.45701218,84.96602631,99.47653961,61.08766174
7.722661362,13.28145027,21.90887451,24.04366302,27.14743805,61.76586151,78.15005493,115.7883453,59.68564987
7.889972597,14.45143127,18.98566246,24.96729851,27.27504921,34.69191742,140.997467,109.8055573,184.0176697
6.426510984,16.10194778,19.04779625,25.95783043,28.11870766,17.5589447,158.0820007,47.93575287,102.8838654
8.621987107,15.92417812,20.27628708,26.05850983,27.72813034,65.74823761,152.765625,138.6768188,134.1546478
8.203129467,15.98424816,20.04066658,26.10383034,28.0460968,40.91991425,138.199234,129.5363464,104.9958496
8.856593004,14.73744297,19.10823631,25.39618874,27.22053528,52.02845383,134.5816498,109.6141434,170.4720612
8.394635424,16.21260452,19.96642876,26.51104164,28.50648117,25.07828712,167.9619446,81.74685669,116.447464
5.541699832,15.50529861,18.6706295,25.39020348,27.93254089,33.02472305,154.1292572,89.97934723,97.84970856
8.489043299,15.86940289,19.57744217,25.68604469,27.7002449,41.58769226,146.4971619,125.3874741,101.0584946
9.352876579,15.02651119,19.64661789,25.26779366,27.20922661,64.73506165,108.5662231,163.9131165,203.3137207
8.943703039,14.6434288,19.09256363,25.00203133,26.56904221,101.6350784,131.032196,170.2989807,142.7926636
9.105798658,15.87294674,20.31811714,25.98584366,27.60452271,87.94646454,131.8852539,121.006752,109.5491486
9.024825996,14.94040394,19.42500305,25.01567268,26.5667057,123.7912521,134.947464,169.2619476,113.8885498
